Waktu,BI_Rate
Maret 2016,6.75
April 2016,6.75
Mei 2016,6.75
Juni 2016,6.50
Juli 2016,6.50
Agustus 2016,5.25
September 2016,5.00
Oktober 2016,4.75
November 2016,4.75
Desember 2016,4.75
Januari 2017,4.75
Februari 2017,4.75
Maret 2017,4.75
April 2017,4.75
Mei 2017,4.75
Juni 2017,4.75
Juli 2017,4.75
Agustus 2017,4.50
September 2017,4.25
Oktober 2017,4.25
November 2017,4.25
Desember 2017,4.25
Januari 2018,4.25
Februari 2018,4.25
Maret 2018,4.25
April 2018,4.25
Mei 2018,4.75
Juni 2018,5.25
Juli 2018,5.25
Agustus 2018,5.50
September 2018,5.75
Oktober 2018,5.75
November 2018,6.00
Desember 2018,6.00
Januari 2019,6.00
Februari 2019,6.00
Maret 2019,6.00
April 2019,6.00
Mei 2019,6.00
Juni 2019,6.00
Juli 2019,5.75
Agustus 2019,5.50
September 2019,5.25
Oktober 2019,5.00
November 2019,5.00
Desember 2019,5.00
Januari 2020,5.00
Februari 2020,4.75
Maret 2020,4.50
April 2020,4.50
Mei 2020,4.50
Juni 2020,4.25
Juli 2020,4.00
Agustus 2020,4.00
September 2020,4.00
Oktober 2020,4.00
November 2020,3.75
Desember 2020,3.75
Januari 2021,3.75
Februari 2021,3.50
Maret 2021,3.50
April 2021,3.50
Mei 2021,3.50
Juni 2021,3.50
Juli 2021,3.50
Agustus 2021,3.50
September 2021,3.50
Oktober 2021,3.50
November 2021,3.50
Desember 2021,3.50
Januari 2022,3.50
Februari 2022,3.50
Maret 2022,3.50
April 2022,3.50
Mei 2022,3.50
Juni 2022,3.50
Juli 2022,3.50
Agustus 2022,3.75
September 2022,4.25
Oktober 2022,4.75
November 2022,5.25
Desember 2022,5.50
Januari 2023,5.75
Februari 2023,5.75
Maret 2023,5.75
April 2023,5.75
Mei 2023,5.75
Juni 2023,5.75
Juli 2023,5.75
Agustus 2023,5.75
September 2023,5.75
Oktober 2023,6.00
November 2023,6.00
Desember 2023,6.00
Januari 2024,6.00
Februari 2024,6.00
Maret 2024,6.00
April 2024,6.25
