Waktu,Inflasi
Maret 2016,4.45
April 2016,3.60
Mei 2016,3.33
Juni 2016,3.45
Juli 2016,3.21
Agustus 2016,2.79
September 2016,3.07
Oktober 2016,3.31
November 2016,3.58
Desember 2016,3.02
Januari 2017,3.49
Februari 2017,3.83
Maret 2017,3.61
April 2017,4.17
Mei 2017,4.33
Juni 2017,4.37
Juli 2017,3.88
Agustus 2017,3.82
September 2017,3.72
Oktober 2017,3.58
November 2017,3.30
Desember 2017,3.61
Januari 2018,3.25
Februari 2018,3.18
Maret 2018,3.40
April 2018,3.41
Mei 2018,3.23
Juni 2018,3.12
Juli 2018,3.18
Agustus 2018,3.20
September 2018,2.88
Oktober 2018,3.16
November 2018,3.23
Desember 2018,3.13
Januari 2019,2.82
Februari 2019,2.57
Maret 2019,2.48
April 2019,2.83
Mei 2019,3.32
Juni 2019,3.28
Juli 2019,3.32
Agustus 2019,3.49
September 2019,3.39
Oktober 2019,3.13
November 2019,3.00
Desember 2019,2.72
Januari 2020,2.68
Februari 2020,2.98
Maret 2020,2.96
April 2020,2.67
Mei 2020,2.19
Juni 2020,1.96
Juli 2020,1.54
Agustus 2020,1.32
September 2020,1.42
Oktober 2020,1.44
November 2020,1.59
Desember 2020,1.68
Januari 2021,1.55
Februari 2021,1.38
Maret 2021,1.37
April 2021,1.42
Mei 2021,1.68
Juni 2021,1.33
Juli 2021,1.52
Agustus 2021,1.59
September 2021,1.60
Oktober 2021,1.66
November 2021,1.75
Desember 2021,1.87
Januari 2022,2.18
Februari 2022,2.06
Maret 2022,2.64
April 2022,3.47
Mei 2022,3.55
Juni 2022,4.35
Juli 2022,4.94
Agustus 2022,4.69
September 2022,5.95
Oktober 2022,5.71
November 2022,5.42
Desember 2022,5.51
Januari 2023,5.28
Februari 2023,5.47
Maret 2023,4.97
April 2023,4.33
Mei 2023,4.00
Juni 2023,3.52
Juli 2023,3.08
Agustus 2023,3.27
September 2023,2.28
Oktober 2023,2.56
November 2023,2.86
Desember 2023,2.61
Januari 2024,2.57
Februari 2024,2.75
Maret 2024,3.05
April 2024,3.00
